time,Asset Man,Board,Break,Cons,Energy,Lobby,Management,Meeting,Other (Kitchen),Sales,weather_temperature
2021-01-01 00:30:00,18.2,20.2,14.1,18.5,19.2,18.1,18.1,18.9,17.6,20.1,2.59
2021-01-01 01:00:00,18.2,21.4,14.2,18.6,18.4,18.1,18.8,19,17.6,19.4,2.44
2021-01-01 01:30:00,18.4,20.7,14.2,18.8,17.4,18.1,18,19,17,18.7,2.31
2021-01-01 02:00:00,18.2,20,14.2,18.7,16.8,18.1,17.5,18.8,16.6,18,2.17
2021-01-01 02:30:00,18.3,19.3,14.2,18.7,16.4,18,17.1,18.8,16.3,17.6,1.9
2021-01-01 03:00:00,18.2,18.6,14.2,18.7,18.1,18,16.7,18.7,16.1,19.1,1.8
2021-01-01 03:30:00,18.2,18.2,14.2,18.6,19.1,17.9,16.3,18.8,15.9,20,1.63
2021-01-01 04:00:00,18.3,17.7,14.2,18.6,18.1,17.8,16.2,18.7,15.7,19.2,1.34
2021-01-01 04:30:00,18.1,17.4,14.1,18.6,17.3,17.8,15.9,18.7,15.5,18.6,0.98
2021-01-01 05:00:00,18.2,18,14.2,18.6,16.6,17.9,16.3,18.7,15.4,17.9,0.62
2021-01-01 05:30:00,18.2,20,14.2,18.7,16.6,17.9,17.8,18.7,16.1,17.8,0.47
2021-01-01 06:00:00,18.3,21.2,14.3,18.7,19.2,18,18.7,18.8,16.9,19.9,0.49
2021-01-01 06:30:00,18.3,20.8,14.3,18.8,18.8,18,18.1,18.9,17.4,19.9,0.61
2021-01-01 07:00:00,,21.3,14.4,18.8,19.8,19,18.3,19.2,17.6,20.4,0.48
2021-01-01 07:30:00,18.4,22.4,14.5,19,20.6,20,19.1,19.7,17.9,21.6,0.69
2021-01-01 08:00:00,18.5,23.3,14.6,19.2,20,20.4,19.7,20,18.2,21.1,0.68
2021-01-01 08:30:00,18.7,23.9,14.7,19.2,19,20.1,20,20,18.5,20.2,0.83
2021-01-01 09:00:00,18.7,24.3,14.6,19.4,,19.7,20.2,19.8,18.6,19.5,1.06
2021-01-01 09:30:00,18.7,24.8,14.9,19.5,20.2,19.4,20.5,19.7,18.7,21.1,1.23
