time,outside,1N,1S,2N,2S,3N,3S,4N,4S,BMS,gas
19/12/2019 00:00,8.5,18.9,21.1,22.0,20.7,21.2,21.3,19.7,20.6,20.6,0
19/12/2019 00:30,8.7,18.8,21.0,21.9,20.7,21.1,21.2,19.5,20.4,20.5,0
19/12/2019 01:00,8.8,18.6,20.8,21.8,20.7,21.0,21.1,19.2,20.2,20.4,0
19/12/2019 01:30,9.0,18.5,20.6,21.8,20.7,20.9,21.1,19.1,20.0,20.2,0
19/12/2019 02:00,9.0,18.4,20.5,21.7,20.7,20.9,21.0,18.9,19.8,20.2,0
19/12/2019 02:30,9.0,18.3,20.4,21.7,20.6,20.8,20.9,18.8,19.7,20.1,0
19/12/2019 03:00,8.9,18.2,20.2,21.6,20.5,20.7,20.8,18.6,19.6,20.1,0
19/12/2019 03:30,8.8,18.1,20.1,21.6,20.3,20.6,20.8,18.5,19.5,20.0,0
19/12/2019 04:00,8.8,18.0,20.0,21.5,20.1,20.6,20.7,18.4,19.4,20.0,0
19/12/2019 04:30,8.9,17.9,19.9,21.5,20.1,20.5,20.6,18.3,19.3,19.9,0
19/12/2019 05:00,8.9,17.8,19.8,21.4,20.0,20.5,20.6,18.2,19.2,19.8,0
19/12/2019 05:30,9.0,17.7,19.6,21.4,20.1,20.4,20.5,18.1,19.1,19.7,0
19/12/2019 06:00,9.2,17.7,19.5,21.3,20.1,20.4,20.5,18.0,19.0,19.7,0
19/12/2019 06:30,9.5,17.7,19.5,21.2,20.3,20.3,20.5,17.9,19.0,19.7,168
19/12/2019 07:00,9.5,18.0,19.7,21.4,20.7,20.5,20.7,18.5,19.4,19.8,251
19/12/2019 07:30,9.7,18.3,20.3,21.6,21.1,20.8,20.9,19.7,20.1,20.3,215
19/12/2019 08:00,9.7,18.6,20.8,21.7,21.3,20.9,21.0,20.7,20.6,20.6,126
19/12/2019 08:30,9.8,18.9,21.3,21.7,21.6,21.1,21.2,20.9,21.0,20.8,120
19/12/2019 09:00,9.5,19.2,21.7,21.8,21.8,21.3,21.4,21.1,21.3,21.0,124
19/12/2019 09:30,9.8,19.6,22.0,21.9,22.0,21.6,21.6,21.3,21.7,21.1,114
19/12/2019 10:00,9.8,19.8,22.3,21.9,22.2,21.8,21.9,21.5,22.0,21.3,106
19/12/2019 10:30,9.8,20.2,22.6,22.0,22.4,22.0,22.2,21.7,22.3,21.4,100
19/12/2019 11:00,10.1,20.3,22.8,22.1,22.6,22.1,22.4,21.9,22.5,21.6,91
19/12/2019 11:30,10.1,20.6,23.1,22.2,22.8,22.2,22.6,22.1,22.6,21.7,92
19/12/2019 12:00,10.2,20.7,23.2,22.4,22.9,22.3,22.8,22.3,22.9,21.8,93
19/12/2019 12:30,10.3,20.8,23.4,22.6,22.8,22.4,22.9,22.4,23.0,22.0,90
19/12/2019 13:00,10.4,20.8,23.4,22.8,22.9,22.4,22.9,22.5,23.0,22.1,79
19/12/2019 13:30,10.4,20.9,23.5,22.8,23.0,22.5,23.0,22.6,23.1,22.2,87
19/12/2019 14:00,10.2,21.0,23.6,22.8,23.0,22.6,23.1,22.7,23.2,22.2,84
19/12/2019 14:30,10.0,21.1,23.5,22.9,23.0,22.5,22.9,22.8,23.3,22.3,87
19/12/2019 15:00,9.8,21.1,23.6,22.9,23.3,22.5,22.8,23.0,23.4,22.4,89
19/12/2019 15:30,9.8,21.2,23.7,22.9,23.5,22.5,22.8,23.1,23.4,22.4,87
19/12/2019 16:00,9.6,21.3,23.8,22.9,23.7,22.5,22.8,23.1,23.4,22.4,89
19/12/2019 16:30,9.6,21.3,23.8,22.8,23.6,22.5,22.8,23.2,23.4,22.5,91
19/12/2019 17:00,9.5,21.3,23.8,22.7,23.7,22.5,22.8,23.1,23.4,22.5,86
19/12/2019 17:30,9.5,21.2,23.7,22.6,23.6,22.5,22.7,23.0,23.4,22.4,90
